Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
24,tt1440129,2011-12-13,2011-12-13,,Battleship,https://www.imdb.com/title/tt1440129/,movie,5.8,131,2012,"Action, Adventure, Sci-Fi, Thriller",239107,2012-04-03,Peter Berg,6,2017-04-27
25,tt1586265,2011-12-13,2011-12-13,,What to Expect When You're Expecting,https://www.imdb.com/title/tt1586265/,movie,5.7,110,2012,"Comedy, Drama, Romance",70722,2012-05-17,Kirk Jones,7,2017-04-27
26,tt1366344,2011-12-25,2011-12-25,,The Sitter,https://www.imdb.com/title/tt1366344/,movie,5.7,81,2011,Comedy,68833,2011-12-09,David Gordon Green,6,2017-04-27
27,tt1456635,2012-01-08,2012-01-08,,Goon,https://www.imdb.com/title/tt1456635/,movie,6.8,92,2011,"Comedy, Drama, Sport",84637,2011-09-10,Michael Dowse,8,2017-04-27
28,tt1345836,2012-01-08,2012-01-08,,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,movie,8.4,164,2012,"Action, Adventure",1551291,2012-07-16,Christopher Nolan,7,2017-04-27
29,tt1885265,2012-01-08,2012-01-08,,Good Deeds,https://www.imdb.com/title/tt1885265/,movie,5.6,129,2012,"Comedy, Drama, Romance",7532,2012-02-14,Tyler Perry,7,2017-04-27
30,tt1389137,2012-01-08,2012-01-08,,We Bought a Zoo,https://www.imdb.com/title/tt1389137/,movie,7.1,124,2011,"Comedy, Drama, Family",137064,2011-11-26,Cameron Crowe,6,2017-04-27
31,tt1588334,2012-01-25,2012-01-25,,"Jeff, Who Lives at Home",https://www.imdb.com/title/tt1588334/,movie,6.5,83,2011,"Comedy, Drama",62415,2011-09-14,"Mark Duplass, Jay Duplass",7,2017-05-01
32,tt1636826,2012-01-25,2012-01-25,,Project X,https://www.imdb.com/title/tt1636826/,movie,6.6,88,2012,Comedy,192293,2012-03-01,Nima Nourizadeh,8,2017-05-01
33,tt1194173,2012-02-14,2012-02-14,,The Bourne Legacy,https://www.imdb.com/title/tt1194173/,movie,6.6,135,2012,"Action, Adventure, Thriller",288910,2012-07-30,Tony Gilroy,8,2017-12-21
34,tt0948470,2012-02-14,2012-02-14,,The Amazing Spider-Man,https://www.imdb.com/title/tt0948470/,movie,6.9,136,2012,"Action, Adventure, Fantasy, Sci-Fi",568907,2012-06-13,Marc Webb,8,2017-05-01
35,tt1990352,2012-02-14,2012-02-14,,The Island President,https://www.imdb.com/title/tt1990352/,movie,7.2,101,2011,Documentary,1165,2011-09-03,Jon Shenk,10,2013-04-21
36,tt2083383,2012-03-13,2012-03-13,,Trouble with the Curve,https://www.imdb.com/title/tt2083383/,movie,6.8,111,2012,"Drama, Sport",61178,2012-09-19,Robert Lorenz,10,2013-04-12
37,tt1446673,2012-03-26,2012-03-26,,All In: The Poker Movie,https://www.imdb.com/title/tt1446673/,movie,6.7,100,2009,Documentary,434,2009-06-11,Douglas Tirola,8,2017-05-01
38,tt1595061,2012-03-26,2012-03-26,,Unraveled,https://www.imdb.com/title/tt1595061/,movie,6.3,84,2011,Documentary,378,2011-05-02,"Marc H. Simon, Bobby Leigh",7,2017-05-01
39,tt1667889,2012-03-26,2012-03-26,,Ice Age: Continental Drift,https://www.imdb.com/title/tt1667889/,movie,6.5,88,2012,"Animation, Adventure, Comedy, Family, Fantasy",195747,2012-06-26,"Mike Thurmeier, Steve Martino",7,2017-04-27
40,tt1637725,2012-04-05,2012-04-05,,Ted,https://www.imdb.com/title/tt1637725/,movie,6.9,106,2012,Comedy,578469,2012-06-29,Seth MacFarlane,10,2012-07-02
41,tt1478338,2012-04-17,2012-04-17,,Bridesmaids,https://www.imdb.com/title/tt1478338/,movie,6.8,125,2011,"Comedy, Romance",275095,2011-04-28,Paul Feig,7,2017-04-27
42,tt0835418,2012-06-06,2012-06-06,,The Babymakers,https://www.imdb.com/title/tt0835418/,movie,5.0,95,2012,Comedy,8454,2012-03-09,Jay Chandrasekhar,7,2017-05-01
43,tt1634286,2012-06-06,2012-06-06,,Grassroots,https://www.imdb.com/title/tt1634286/,movie,5.3,98,2012,"Comedy, Drama",1054,2012-06-10,Stephen Gyllenhaal,9,2013-05-25
44,tt1239449,2012-06-06,2012-06-06,,"Lila, Lila",https://www.imdb.com/title/tt1239449/,movie,6.4,104,2009,"Comedy, Drama, Romance",982,2009-10-31,Alain Gsponer,9,2017-05-01
45,tt0763831,2012-06-17,2012-06-17,,A Thousand Words,https://www.imdb.com/title/tt0763831/,movie,5.9,91,2012,"Comedy, Drama",41103,2012-03-09,Brian Robbins,9,2017-04-27
46,tt1232200,2012-06-18,2012-06-18,,That's My Boy,https://www.imdb.com/title/tt1232200/,movie,5.5,116,2012,Comedy,93386,2012-06-04,Sean Anders,6,2017-04-27
47,tt1074638,2012-06-23,2012-06-23,,Skyfall,https://www.imdb.com/title/tt1074638/,movie,7.7,143,2012,"Action, Adventure, Thriller",639860,2012-10-23,Sam Mendes,8,2017-04-27
48,tt1232829,2012-06-26,2012-06-26,,21 Jump Street,https://www.imdb.com/title/tt1232829/,movie,7.2,109,2012,"Action, Comedy, Crime",519352,2012-03-12,"Christopher Miller, Phil Lord",8,2017-04-27
49,tt0367882,2012-07-08,2012-07-08,,Indiana Jones and the Kingdom of the Crystal Skull,https://www.imdb.com/title/tt0367882/,movie,6.1,122,2008,"Action, Adventure",431852,2008-05-18,Steven Spielberg,7,2017-04-27
50,tt1298649,2012-08-05,2012-08-05,,The Watch,https://www.imdb.com/title/tt1298649/,movie,5.7,102,2012,"Comedy, Sci-Fi",123002,2012-07-27,Akiva Schaffer,7,2017-04-27
51,tt1718835,2012-09-15,2012-09-15,,Mon pire cauchemar,https://www.imdb.com/title/tt1718835/,movie,6.0,103,2011,"Comedy, Drama, Romance",2830,2011-07-31,Anne Fontaine,8,2017-05-01
52,tt1047540,2012-09-15,2012-09-15,,Parental Guidance,https://www.imdb.com/title/tt1047540/,movie,6.0,105,2012,"Comedy, Family",25074,2012-12-25,Andy Fickman,7,2017-05-01
53,tt1716772,2012-09-15,2012-09-15,,The Inbetweeners Movie,https://www.imdb.com/title/tt1716772/,movie,6.7,97,2011,Comedy,79491,2011-08-17,Ben Palmer,7,2017-04-27
54,tt1715873,2012-09-16,2012-09-16,,10 Years,https://www.imdb.com/title/tt1715873/,movie,6.1,110,2011,"Comedy, Drama, Romance",24410,2011-09-12,Jamie Linden,7,2017-04-27
55,tt1605630,2012-09-16,2012-09-16,,American Reunion,https://www.imdb.com/title/tt1605630/,movie,6.7,113,2012,Comedy,205631,2012-04-04,"Jon Hurwitz, Hayden Schlossberg",8,2017-05-01
56,tt1599348,2012-09-16,2012-09-16,,Safe House,https://www.imdb.com/title/tt1599348/,movie,6.7,115,2012,"Action, Thriller",210460,2012-02-07,Daniel Espinosa,7,2017-04-27
57,tt1247667,2012-09-16,2012-09-16,,High School,https://www.imdb.com/title/tt1247667/,movie,5.8,99,2010,Comedy,7403,2010-01-24,John Stalberg Jr.,7,2017-05-01
58,tt1282140,2012-09-16,2012-09-16,,Easy A,https://www.imdb.com/title/tt1282140/,movie,7.0,92,2010,"Comedy, Drama, Romance",366521,2010-09-11,Will Gluck,7,2017-04-27
59,tt1656186,2012-09-16,2012-09-16,,Stolen,https://www.imdb.com/title/tt1656186/,movie,5.5,96,2012,"Action, Crime, Thriller",43799,2012-09-06,Simon West,8,2017-05-01
60,tt1392170,2012-09-16,2012-09-16,,The Hunger Games,https://www.imdb.com/title/tt1392170/,movie,7.2,142,2012,"Action, Adventure, Sci-Fi, Thriller",858551,2012-03-12,Gary Ross,7,2017-04-27
61,tt1276104,2012-10-01,2012-10-01,,Looper,https://www.imdb.com/title/tt1276104/,movie,7.4,113,2012,"Action, Drama, Sci-Fi, Thriller",542603,2012-09-06,Rian Johnson,9,2017-04-27
62,tt1606378,2012-10-07,2012-10-07,,A Good Day to Die Hard,https://www.imdb.com/title/tt1606378/,movie,5.3,98,2013,"Action, Thriller",200240,2013-02-06,John Moore,8,2017-04-27
63,tt1904996,2012-10-07,2012-10-07,,Parker,https://www.imdb.com/title/tt1904996/,movie,6.2,118,2013,"Action, Crime, Thriller",117001,2013-01-18,Taylor Hackford,7,2017-05-01
64,tt0404978,2012-10-07,2012-10-07,,Gambit,https://www.imdb.com/title/tt0404978/,movie,5.7,89,2012,"Comedy, Crime",23823,2012-11-07,Michael Hoffman,7,2017-05-01
65,tt2091473,2012-10-07,2012-10-07,,Promised Land,https://www.imdb.com/title/tt2091473/,movie,6.6,106,2012,Drama,36803,2012-12-04,Gus Van Sant,8,2017-05-01
66,tt1645155,2012-10-16,2012-10-16,,Erased,https://www.imdb.com/title/tt1645155/,movie,6.1,100,2012,"Action, Thriller",29994,2012-08-23,Philipp Stölzl,8,2017-05-01
67,tt1132449,2012-11-01,2012-11-01,,Lay the Favorite,https://www.imdb.com/title/tt1132449/,movie,4.8,94,2012,"Comedy, Drama, Romance",11273,2012-01-21,Stephen Frears,7,2017-05-01
68,tt0097351,2012-11-03,2012-11-03,,Field of Dreams,https://www.imdb.com/title/tt0097351/,movie,7.5,107,1989,"Drama, Family, Fantasy, Sport",110132,1989-04-21,Phil Alden Robinson,8,2017-04-27
69,tt1670345,2012-11-25,2012-11-25,,Now You See Me,https://www.imdb.com/title/tt1670345/,movie,7.2,115,2013,"Crime, Mystery, Thriller",608979,2013-05-21,Louis Leterrier,8,2017-04-27
70,tt1758830,2012-12-24,2012-12-24,,This Is 40,https://www.imdb.com/title/tt1758830/,movie,6.2,134,2012,"Comedy, Romance",130868,2012-12-20,Judd Apatow,8,2017-04-27
71,tt1694020,2012-12-24,2012-12-24,,The Guilt Trip,https://www.imdb.com/title/tt1694020/,movie,5.7,95,2012,"Comedy, Drama",36033,2012-12-19,Anne Fletcher,7,2017-04-27
72,tt2243537,2013-01-13,2013-01-13,,A Haunted House,https://www.imdb.com/title/tt2243537/,movie,5.0,86,2013,"Comedy, Fantasy",44571,2013-01-11,Michael Tiddes,7,2017-12-21
73,tt1711425,2013-01-20,2013-01-20,,21 & Over,https://www.imdb.com/title/tt1711425/,movie,5.8,93,2013,Comedy,72631,2013-02-28,"Jon Lucas, Scott Moore",8,2018-09-01
74,tt1549920,2013-01-20,2013-01-20,,The Last Stand,https://www.imdb.com/title/tt1549920/,movie,6.3,107,2013,"Action, Thriller",134692,2013-01-12,Jee-woon Kim,7,2017-12-21
75,tt2024432,2013-01-23,2013-01-23,,Identity Thief,https://www.imdb.com/title/tt2024432/,movie,5.7,111,2013,"Comedy, Crime, Drama",127121,2013-02-07,Seth Gordon,8,2017-04-27
76,tt1588173,2013-01-23,2013-01-23,,Warm Bodies,https://www.imdb.com/title/tt1588173/,movie,6.8,98,2013,"Comedy, Horror, Romance",222042,2013-01-16,Jonathan Levine,8,2017-04-27
77,tt2243389,2013-01-23,2013-01-23,,Los amantes pasajeros,https://www.imdb.com/title/tt2243389/,movie,5.6,90,2013,"Comedy, Musical",22575,2013-03-08,Pedro Almodóvar,7,2018-02-10
78,tt0790628,2013-01-23,2013-01-23,,The Incredible Burt Wonderstone,https://www.imdb.com/title/tt0790628/,movie,5.9,100,2013,Comedy,71374,2013-03-08,Don Scardino,8,2018-10-09
79,tt2404463,2013-01-23,2013-01-23,,The Heat,https://www.imdb.com/title/tt2404463/,movie,6.6,117,2013,"Action, Comedy, Crime",164629,2013-06-23,Paul Feig,8,2018-10-03
80,tt1766094,2013-01-23,2013-01-23,,So Undercover,https://www.imdb.com/title/tt1766094/,movie,5.0,94,2012,"Action, Comedy, Crime",19616,2012-12-06,Tom Vaughan,6,2018-01-18
81,tt2044729,2013-01-23,2013-01-23,,A Glimpse Inside the Mind of Charles Swan III,https://www.imdb.com/title/tt2044729/,movie,4.7,86,2012,Comedy,5045,2012-11-15,Roman Coppola,5,2017-04-27
82,tt1333125,2013-01-31,2013-01-31,,Movie 43,https://www.imdb.com/title/tt1333125/,movie,4.3,94,2013,Comedy,100886,2013-01-01,"Rusty Cundieff, Steven Brill, Patrik Forsberg, Bob Odenkirk, Peter Farrelly, James Duffy, James Gunn, Brett Ratner, Elizabeth Banks, Jonathan van Tulleken, Steve Carr, Will Graham, Griffin Dunne",4,2018-01-28
83,tt2234155,2013-02-15,2013-02-15,,The Internship,https://www.imdb.com/title/tt2234155/,movie,6.3,119,2013,Comedy,192652,2013-05-29,Shawn Levy,7,2016-10-07
84,tt1024648,2013-02-25,2013-02-25,,Argo,https://www.imdb.com/title/tt1024648/,movie,7.7,120,2012,"Biography, Drama, Thriller",583088,2012-08-31,Ben Affleck,9,2017-04-27
85,tt0100201,2013-03-10,2013-03-10,,Mr. Destiny,https://www.imdb.com/title/tt0100201/,movie,6.4,110,1990,"Comedy, Fantasy, Romance",11763,1990-10-12,James Orr,10,2017-04-27
86,tt1924429,2013-03-13,2013-03-13,,Trance,https://www.imdb.com/title/tt1924429/,movie,6.9,101,2013,"Crime, Drama, Mystery, Thriller",110753,2013-03-19,Danny Boyle,9,2018-02-04
87,tt1718158,2013-03-17,2013-03-17,,Generation Um...,https://www.imdb.com/title/tt1718158/,movie,4.0,97,2012,Drama,3905,2012-07-12,Mark Mann,3,2018-09-02
88,tt2609912,2013-03-17,2013-03-17,,Kevin Hart: Let Me Explain,https://www.imdb.com/title/tt2609912/,movie,6.8,75,2013,"Documentary, Comedy",8644,2013-06-22,"Leslie Small, Tim Story",9,2017-04-27
89,tt1515091,2013-03-29,2013-03-29,,Sherlock Holmes: A Game of Shadows,https://www.imdb.com/title/tt1515091/,movie,7.5,129,2011,"Action, Adventure, Mystery",427794,2011-12-10,Guy Ritchie,7,2017-12-21
90,tt2209418,2013-04-01,2013-04-01,,Before Midnight,https://www.imdb.com/title/tt2209418/,movie,7.9,109,2013,"Drama, Romance",145500,2013-01-20,Richard Linklater,10,2017-01-13
91,tt1245492,2013-04-08,2013-04-08,,This Is the End,https://www.imdb.com/title/tt1245492/,movie,6.6,107,2013,Comedy,390128,2013-06-03,"Evan Goldberg, Seth Rogen",7,2018-02-11
92,tt0348150,2013-04-10,2013-04-10,,Superman Returns,https://www.imdb.com/title/tt0348150/,movie,6.0,154,2006,"Action, Sci-Fi",273614,2006-06-21,Bryan Singer,8,2017-04-27
93,tt0770828,2013-04-10,2013-04-10,,Man of Steel,https://www.imdb.com/title/tt0770828/,movie,7.0,143,2013,"Action, Adventure, Sci-Fi",718555,2013-06-10,Zack Snyder,7,2016-12-02
94,tt0816692,2013-04-10,2013-04-10,,Interstellar,https://www.imdb.com/title/tt0816692/,movie,8.6,169,2014,"Adventure, Drama, Sci-Fi",1569871,2014-10-26,Christopher Nolan,9,2017-04-27
95,tt0795461,2013-04-11,2013-04-11,,Scary Movie 5,https://www.imdb.com/title/tt0795461/,movie,3.5,88,2013,Comedy,67156,2013-04-11,"Malcolm D. Lee, David Zucker",8,2018-02-03
96,tt1951261,2013-04-11,2013-04-11,,The Hangover Part III,https://www.imdb.com/title/tt1951261/,movie,5.8,100,2013,"Comedy, Crime",297935,2013-05-20,Todd Phillips,7,2018-01-28
97,tt1853728,2013-04-13,2013-04-13,,Django Unchained,https://www.imdb.com/title/tt1853728/,movie,8.4,165,2012,"Drama, Western",1395860,2012-12-11,Quentin Tarantino,8,2017-04-27
98,tt2191701,2013-04-20,2013-04-20,,Grown Ups 2,https://www.imdb.com/title/tt2191701/,movie,5.4,101,2013,Comedy,143537,2013-07-11,Dennis Dugan,9,2018-08-12
99,tt1408101,2013-04-22,2013-04-22,,Star Trek Into Darkness,https://www.imdb.com/title/tt1408101/,movie,7.7,132,2013,"Action, Adventure, Sci-Fi",467462,2013-05-02,J.J. Abrams,9,2018-01-27
100,tt0790736,2013-04-22,2013-04-22,,R.I.P.D.,https://www.imdb.com/title/tt0790736/,movie,5.6,96,2013,"Action, Adventure, Comedy, Crime, Fantasy, Sci-Fi",121998,2013-07-17,Robert Schwentke,6,2018-12-01
101,tt1279935,2013-04-22,2013-04-22,,Date Night,https://www.imdb.com/title/tt1279935/,movie,6.3,88,2010,"Comedy, Crime, Romance, Thriller",154622,2010-04-06,Shawn Levy,8,2017-04-27
102,tt1981115,2013-04-24,2013-04-24,,Thor: The Dark World,https://www.imdb.com/title/tt1981115/,movie,6.9,112,2013,"Action, Adventure, Fantasy",613526,2013-10-22,Alan Taylor,8,2017-04-27
103,tt0085794,2013-04-24,2013-04-24,,The King of Comedy,https://www.imdb.com/title/tt0085794/,movie,7.8,109,1982,"Comedy, Crime, Drama, Thriller",93456,1983-02-18,Martin Scorsese,9,2017-04-27
104,tt0073486,2013-05-06,2013-05-06,,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,936706,1975-11-19,Milos Forman,8,2017-04-27
105,tt2167202,2013-06-19,2013-06-19,,Getaway,https://www.imdb.com/title/tt2167202/,movie,4.4,90,2013,"Action, Thriller",23401,2013-08-26,Courtney Solomon,7,2019-01-05
106,tt1553656,2013-06-19,2013-06-19,,Under the Dome,https://www.imdb.com/title/tt1553656/,tvSeries,6.6,43,2013,"Drama, Mystery, Sci-Fi, Thriller",102183,2013-06-24,,7,2017-04-27
107,tt0993846,2013-06-19,2013-06-19,,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,movie,8.2,180,2013,"Biography, Crime, Drama",1231349,2013-12-09,Martin Scorsese,10,2017-02-02
108,tt2229499,2013-06-19,2013-06-19,,Don Jon,https://www.imdb.com/title/tt2229499/,movie,6.5,90,2013,"Comedy, Drama, Romance",231739,2013-01-18,Joseph Gordon-Levitt,8,2017-04-27
109,tt1821694,2013-07-27,2013-07-27,,RED 2,https://www.imdb.com/title/tt1821694/,movie,6.6,116,2013,"Action, Adventure, Comedy, Crime, Thriller",162749,2013-07-18,Dean Parisot,7,2018-11-13
110,tt0848228,2013-08-01,2013-08-01,,The Avengers,https://www.imdb.com/title/tt0848228/,movie,8.0,143,2012,"Action, Adventure, Sci-Fi",1286152,2012-04-11,Joss Whedon,8,2017-04-27
111,tt1130884,2013-08-05,2013-08-05,,Shutter Island,https://www.imdb.com/title/tt1130884/,movie,8.2,138,2010,"Mystery, Thriller",1166877,2010-02-13,Martin Scorsese,9,2017-04-27
112,tt0325980,2013-08-05,2013-08-05,,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,movie,8.0,143,2003,"Action, Adventure, Fantasy",1030060,2003-06-28,Gore Verbinski,7,2019-01-19
113,tt1272878,2013-08-05,2013-08-05,,2 Guns,https://www.imdb.com/title/tt1272878/,movie,6.7,109,2013,"Action, Crime, Thriller",200736,2013-07-30,Baltasar Kormákur,8,2018-12-25
114,tt1723121,2013-08-06,2013-08-06,,We're the Millers,https://www.imdb.com/title/tt1723121/,movie,7.0,110,2013,"Comedy, Crime",413130,2013-08-03,Rawson Marshall Thurber,10,2013-09-04
115,tt2333804,2013-08-06,2013-08-06,,The Zero Theorem,https://www.imdb.com/title/tt2333804/,movie,6.1,107,2013,"Comedy, Drama, Fantasy, Mystery, Sci-Fi",45936,2013-09-02,Terry Gilliam,5,2018-12-26
116,tt1800241,2013-08-06,2013-08-06,,American Hustle,https://www.imdb.com/title/tt1800241/,movie,7.2,138,2013,"Crime, Drama",456564,2013-12-12,David O. Russell,7,2018-03-31
117,tt1661382,2013-12-09,2013-12-09,,Grudge Match,https://www.imdb.com/title/tt1661382/,movie,6.4,113,2013,"Comedy, Drama, Sport",58507,2013-12-16,Peter Segal,8,2018-09-30
118,tt0094291,2014-01-28,2014-01-28,,Wall Street,https://www.imdb.com/title/tt0094291/,movie,7.4,126,1987,"Crime, Drama",146535,1987-12-11,Oliver Stone,9,2017-02-18
119,tt1800246,2014-01-29,2014-01-29,,That Awkward Moment,https://www.imdb.com/title/tt1800246/,movie,6.1,94,2014,"Comedy, Romance",99157,2014-01-27,Tom Gormican,7,2018-11-28
120,tt2004420,2014-01-29,2014-01-29,,Neighbors,https://www.imdb.com/title/tt2004420/,movie,6.3,97,2014,Comedy,292542,2014-03-08,Nicholas Stoller,7,2017-04-11
121,tt1408253,2014-02-09,2014-02-09,,Ride Along,https://www.imdb.com/title/tt1408253/,movie,6.2,99,2014,"Action, Comedy, Crime",105630,2014-01-17,Tim Story,8,2017-04-27
122,tt1826590,2014-02-17,2014-02-17,,About Last Night,https://www.imdb.com/title/tt1826590/,movie,6.1,100,2014,"Comedy, Romance",23024,2014-02-14,Steve Pink,8,2017-04-27
123,tt1853643,2014-02-25,2014-02-25,,Why Stop Now?,https://www.imdb.com/title/tt1853643/,movie,5.6,85,2012,"Comedy, Drama",7266,2012-01-27,"Ron Nyswaner, Phil Dorling",7,2017-04-27
124,tt2294449,2014-03-06,2014-03-06,,22 Jump Street,https://www.imdb.com/title/tt2294449/,movie,7.0,112,2014,"Action, Comedy, Crime",352187,2014-06-04,"Christopher Miller, Phil Lord",7,2018-06-16
125,tt1529235,2014-08-01,2014-08-01,,Benvenuti al sud,https://www.imdb.com/title/tt1529235/,movie,6.5,102,2010,Comedy,8602,2010-10-01,Luca Miniero,8,2018-12-25
126,tt1405810,2014-08-01,2014-08-01,,Mine vaganti,https://www.imdb.com/title/tt1405810/,movie,7.2,110,2010,"Comedy, Drama, Romance",11961,2010-02-13,Ferzan Ozpetek,7,2018-10-03
127,tt1244668,2014-08-26,2014-08-26,,Soul Kitchen,https://www.imdb.com/title/tt1244668/,movie,7.2,99,2009,"Comedy, Drama",37100,2009-09-10,Fatih Akin,8,2017-04-27
128,tt2872732,2015-01-05,2015-01-05,,Lucy,https://www.imdb.com/title/tt2872732/,movie,6.4,89,2014,"Action, Sci-Fi, Thriller",457775,2014-07-25,Luc Besson,8,2018-10-27
129,tt2209764,2015-01-05,2015-01-05,,Transcendence,https://www.imdb.com/title/tt2209764/,movie,6.2,119,2014,"Action, Drama, Sci-Fi, Thriller",219660,2014-04-10,Wally Pfister,9,2018-12-24
130,tt2562232,2015-12-27,2015-12-27,,Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,movie,7.7,119,2014,"Comedy, Drama",592112,2014-08-27,Alejandro G. Iñárritu,9,2016-12-19
131,tt4291066,2016-01-24,2016-01-24,,B-Movie: Lust & Sound in West-Berlin 1979-1989,https://www.imdb.com/title/tt4291066/,movie,7.9,92,2015,"Documentary, Music",1894,2015-02-08,"Jörg A. Hoppe, Heiko Lange, Klaus Maeck",9,2018-02-04
132,tt2935564,2016-02-25,2016-02-25,,La French,https://www.imdb.com/title/tt2935564/,movie,7.1,135,2014,"Action, Crime, Thriller",10095,2014-09-10,Cédric Jimenez,8,2018-09-02
133,tt4524424,2016-04-17,2016-04-17,,Beyond the Tank,https://www.imdb.com/title/tt4524424/,tvSeries,6.3,,2015,Reality-TV,371,2015-05-01,,8,2018-06-02
